Problem Code	 Text Size 	 Sol Size 	 Right Ans 	 Difficulty 	 Chapter 	 Chapter Code 	 Test Code
P009433	179	293	b	2	Motion in 1D	PHY-11-JEE-02	SB-MT-02-17
P009430	206	418	a	2	Motion in 1D	PHY-11-JEE-02	SB-MT-02-17
P009435	105	12338	d	1	Motion in 1D	PHY-11-JEE-02	SB-MT-02-17
P009451	79	278	a	3	Vectors and Application of Calculus	PHY-11-JEE-03	SB-MT-02-17
P009446	232	606	d	2	Vectors and Application of Calculus	PHY-11-JEE-03	SB-MT-02-17
P009442	77	113	d	2	Vectors and Application of Calculus	PHY-11-JEE-03	SB-MT-03-17
P004786	286	339	a	2	Motion in Two Dimensions	PHY-11-JEE-04	SB-MT-03-17
P004430	11730	300	c	2	Rotation	PHY-11-JEE-07	SB-MT-03-17
P009422	185	81	b	1	Motion in 1D	PHY-11-JEE-02	SB-MT-03-17
P012545	246	483	c	2	Motion in Two Dimensions	PHY-11-JEE-04	SB-MT-03-17
P011462	6474	326	a	2	Laws of Motion	PHY-11-CBS-05	SB-MT-03-17
P004438	193	5758	c	2	Gravitation	PHY-11-JEE-08	SB-MT-03-17
P011475	190	45906	a	2	Laws of Motion	PHY-11-CBS-05	SB-MT-03-17
P004445	258	19805	c	3	Gravitation	PHY-11-JEE-08	SB-MT-03-17
P009439	92	169	d	2	Vectors and Application of Calculus	PHY-11-JEE-03	SB-MT-03-17
P016698	238	322	d	1	Mechanical Properties of Solids	PHY-11-JEE-09	SB-MT-03-17
P002875	207	13062	a	1	Mechanical Properties of Solids	PHY-11-JEE-09	SB-MT-03-17
P009440	111	370	a	2	Vectors and Application of Calculus	PHY-11-JEE-03	SB-MT-03-17
P005463	175	194	a	1	Mechanical Properties of Solids	PHY-11-JEE-09	SB-MT-03-17
P041875	148	424	b	2	Scalars and Vectors	PHY-11-HSC-02	SB-MT-03-17
P004442	11618	407	b	2	Gravitation	PHY-11-JEE-08	SB-MT-03-17
P002112	169	256	d	1	Units and Measurement	PHY-11-JEE-01	SB-MT-03-17
P011459	7991	573	a	2	Laws of Motion	PHY-11-CBS-05	SB-MT-03-17
P009423	136	101	b	2	Motion in 1D	PHY-11-JEE-02	SB-MT-03-17
P005469	97	72094	c	2	Mechanical Properties of Solids	PHY-11-JEE-09	SB-MT-03-17
P005461	357	4227	a	2	Mechanical Properties of Solids	PHY-11-JEE-09	SB-MT-03-17
P004464	310	342	a	3	Gravitation	PHY-11-JEE-08	SB-MT-03-17
P010616	416	594	c	1	Motion in a Straight Line	PHY-11-CBS-03	SB-MT-03-17
P004463	164	532	c	2	Gravitation	PHY-11-JEE-08	SB-MT-03-17
P011468	271	26507	d	3	Laws of Motion	PHY-11-CBS-05	SB-MT-03-17
P004383	11539	11661	c	3	Rotation	PHY-11-JEE-07	SB-MT-03-17
P004427	9056	866	a	3	Rotation	PHY-11-JEE-07	SB-MT-03-17
P004462	325	579	b	3	Gravitation	PHY-11-JEE-08	SB-MT-03-17
P002111	216	329	b	1	Units and Measurement	PHY-11-JEE-01	SB-MT-03-17
P004421	9481	20533	c	2	Rotation	PHY-11-JEE-07	SB-MT-03-17
P018467	664	674	d	2	Thermodynamics	CHM-11-JEE-06	SB-MT-03-17
P002940	18511	681	a	3	Thermodynamics	CHM-11-JEE-06	SB-MT-03-17
P018471	723	623	b	3	Thermodynamics	CHM-11-JEE-06	SB-MT-03-17
P004258	136	337	b	1	Redox Reactions	CHM-11-JEE-09	SB-MT-03-17
P018456	110	385	a	1	States of Matter	CHM-11-JEE-05	SB-MT-03-17
P018408	141	735	a	2	Atomic Structure 	CHM-11-JEE-02	SB-MT-03-17
P003805	145	324	d	2	Ionic Equilibrium	CHM-11-JEE-08	SB-MT-03-17
P004230	117	249	b	1	Ionic Equilibrium	CHM-11-JEE-08	SB-MT-03-17
P018419	169	1092	a	3	Atomic Structure 	CHM-11-JEE-02	SB-MT-03-17
P004234	67	194	b	1	Ionic Equilibrium	CHM-11-JEE-08	SB-MT-03-17
P018452	5842	364	c	1	States of Matter	CHM-11-JEE-05	SB-MT-03-17
P018412	328	272	b	2	Atomic Structure 	CHM-11-JEE-02	SB-MT-03-17
P004255	282	1056	d	3	Ionic Equilibrium	CHM-11-JEE-08	SB-MT-03-17
P004274	81	20810	a	2	Redox Reactions	CHM-11-JEE-09	SB-MT-03-17
P004232	58	310	b	2	Ionic Equilibrium	CHM-11-JEE-08	SB-MT-03-17
P004223	52	118	b	1	Chemical Equilibrium	CHM-11-JEE-07	SB-MT-03-17
P015766	127	1324	b	2	Chemical Bonding 	CHM-11-JEE-04	SB-MT-03-17
P004225	333	599	a	2	Chemical Equilibrium	CHM-11-JEE-07	SB-MT-03-17
P018486	107	238	d	2	Periodic Properties of Elements	CHM-11-JEE-03	SB-MT-03-17
P045113	46	270	d	1	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-03-17
P045111	59	57	b	1	Periodic Properties of Elements	CHM-11-JEE-03	SB-MT-03-17
P045115	89	82	d	1	Chemical Bonding 	CHM-11-JEE-04	SB-MT-03-17
P045117	227	235	c	2	Redox Reactions	CHM-11-JEE-09	SB-MT-03-17
P045116	26815	27073	c	3	States of Matter	CHM-11-JEE-05	SB-MT-03-17
P045110	147	104	c	2	Chemical Equilibrium	CHM-11-JEE-07	SB-MT-03-17
P045118	408	860	a	3	Chemical Equilibrium	CHM-11-JEE-07	SB-MT-03-17
P045112	24054	46	a	1	Redox Reactions	CHM-11-JEE-09	SB-MT-03-17
P045114	106	211	c	1	Redox Reactions	CHM-11-JEE-09	SB-MT-03-17
P023840	356	375	c	2	Ionic Equilibrium	CHM-11-JEE-08	SB-MT-03-17
P002397	22221	988	c	3	Thermodynamics	CHM-11-JEE-06	SB-MT-03-17
P045339	65	1146	a	3	Trigonometry	MTH-11-JEE-03	SB-MT-03-17
P045340	337	995	a	3	Permutations and Combinations	MTH-11-JEE-08	SB-MT-03-17
P018535	82	321	c	2	Complex Numbers	MTH-11-JEE-07	SB-MT-03-17
P040389	233	357	b	1	Sets, Relations and Functions	MTH-11-HSC-12	SB-MT-03-17
P018555	83	3165	b	2	Inequalities	MTH-11-JEE-05	SB-MT-03-17
P045341	137	463	d	3	Binomial Theorem	MTH-11-JEE-09	SB-MT-03-17
P018565	199	377	a	2	Sequence and Series	MTH-11-JEE-10	SB-MT-03-17
P018569	97	319	c	1	Binomial Theorem	MTH-11-JEE-09	SB-MT-03-17
P018580	243	552	a	2	Permutations and Combinations	MTH-11-JEE-08	SB-MT-03-17
P018584	82	631	d	1	Binomial Theorem	MTH-11-JEE-09	SB-MT-03-17
P018608	113	589	c	2	Quadratic Equations	MTH-11-JEE-06	SB-MT-03-17
P018612	169	497	b	2	Permutations and Combinations	MTH-11-JEE-08	SB-MT-03-17
P018617	91	545	d	2	Trigonometry	MTH-11-JEE-03	SB-MT-03-17
P018624	84	4477	d	2	Inequalities	MTH-11-JEE-05	SB-MT-03-17
P018640	390	14766	a	2	Sequence and Series	MTH-11-JEE-10	SB-MT-03-17
P018650	246	10370	a	2	Permutations and Combinations	MTH-11-JEE-08	SB-MT-03-17
P018655	224	455	b	2	Quadratic Equations	MTH-11-JEE-06	SB-MT-03-17
P018683	124	368	a	2	Sequence and Series	MTH-11-JEE-10	SB-MT-03-17
P018689	197	415	b	2	Permutations and Combinations	MTH-11-JEE-08	SB-MT-03-17
P015661	75	255	a	1	Binomial Theorem	MTH-11-CBS-08	SB-MT-03-17
P018721	115	889	b	3	Trigonometry	MTH-11-JEE-03	SB-MT-03-17
P018709	68	363	c	2	Trigonometry	MTH-11-JEE-03	SB-MT-03-17
P018728	216	806	a	2	Binomial Theorem	MTH-11-JEE-09	SB-MT-03-17
P005266	126	242	b	3	Sequence and Series	MTH-11-JEE-10	SB-MT-03-17
P016303	189	182	a	1	Sequences and Series	MTH-11-CBS-09	SB-MT-03-17
P003114	95	585	c	2	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-03-17
P005252	77	197	c	2	Complex Numbers	MTH-11-JEE-07	SB-MT-03-17
P002347	47	934	c	2	Inequalities	MTH-11-JEE-05	SB-MT-03-17
P045371	85	250	b	2	Quadratic Equations	MTH-11-JEE-06	SB-MT-03-17
P002862	67	269	c	2	Complex Numbers	MTH-11-JEE-07	SB-MT-03-17
P016070	574	877	c	3	Mechanical Properties of Solids	PHY-11-JEE-09	SB-MT-04-16
P004802	19672	435	c	3	Gravitation	PHY-11-JEE-08	SB-MT-04-16
P002409	516	593	d	2	Work, Power, Energy and Momentum	PHY-11-JEE-06	SB-MT-04-16
P005642	294	328	d	2	Thermal Properties of Matter	PHY-11-JEE-11	SB-MT-04-16
P005465	341	5043	b	3	Mechanical Properties of Solids	PHY-11-JEE-09	SB-MT-04-16
P002886	274	633	c	2	Thermodynamics and Kinetic Theory of Gases	PHY-11-JEE-12	SB-MT-04-16
P019983	174	508	c	1	Mechanical Properties of Fluids	PHY-11-JEE-10	SB-MT-04-16
P020011	31	64	c	1	Mechanical Properties of Fluids	PHY-11-JEE-10	SB-MT-04-16
P002884	12443	395	c	2	Thermodynamics and Kinetic Theory of Gases	PHY-11-JEE-12	SB-MT-04-16
P004890	396	704	b	2	Thermal Properties of Matter	PHY-11-JEE-11	SB-MT-04-16
P003211	18531	470	c	3	Thermal Properties of Matter	PHY-11-JEE-11	SB-MT-04-16
P005646	512	438	c	2	Thermal Properties of Matter	PHY-11-JEE-11	SB-MT-04-16
P002878	311	14230	c	3	Mechanical Properties of Fluids	PHY-11-JEE-10	SB-MT-04-16
P002485	213	15743	d	3	Rotation	PHY-11-JEE-07	SB-MT-04-16
P012561	157	963	b	2	Thermal Properties of Matter	PHY-11-JEE-11	SB-MT-04-16
